,steps,heart_rate
606,4732,73.35
607,4232,74.45
608,13169,74.91
609,3610,84.11
610,4746,76.2
611,3830,76.17
612,758,69.81
613,446,71.56
614,3211,75.92
615,6945,77.28
616,4707,78.45
617,4059,78.13
618,2611,73.17
619,1052,70.51
620,4311,74.91
621,864,74.04
622,3915,75.62
623,363,71.86
624,10905,74.61
625,3543,78.12
626,1408,72.32
627,9473,80.04
628,8012,81.06
629,2465,70.11
630,4356,70.59
631,7574,82.12
632,4145,76.65
633,3380,73.37
634,2353,71.99
635,11217,76.81
636,5270,80.39
637,3109,74.72
638,3879,73.65
639,2984,73.88
640,3409,72.15
641,4403,77.06
642,5343,80.23
643,4347,78.25
644,6231,76.22
645,3249,75.64
646,2929,72.3
647,205,70.51
648,2460,73.4
649,624,72.17
650,7238,76.17
651,6290,77.29
652,1031,82.52
653,6161,73.79
654,3835,75.19
655,5619,72.45
656,2183,72.63
657,3663,74.19
658,7146,76.49
659,2900,75.21
660,755,71.21
661,2397,71.69
662,3838,73.2
663,1940,73.77
664,3181,74.51
665,5126,75.9
666,3912,78.27
667,8539,81.89
668,5819,77.4
669,6547,74.26
670,3565,73.33
671,2823,72.55
672,3432,73.79
673,10724,77.89
674,5541,77.17
675,960,74.06
676,6252,85.09
677,2713,77.62
678,1095,74.3
679,5491,77.89
680,8548,76.94
681,3865,73.18
682,3731,77.55
683,7066,73.83
684,6044,77.55
685,3233,73.66
686,3268,73.85
687,606,74.14
688,5715,73.63
689,5558,77.47
690,5729,74.04
691,4626,77.01
692,4729,74.03
693,3897,72.62
694,8544,75.46
695,2703,72.75
696,9943,76.22
697,539,71.37
698,6251,73.32
699,3918,76.01
700,3185,75.87
701,3549,77.01
702,5868,77.02
703,4190,76.77
704,639,72.99
705,3248,74.37
706,3405,73.5
707,3929,74.02
708,3671,73.71
709,720,72.86
710,2158,71.82
711,3029,74.14
712,0,95.41
713,6759,85.23
714,3268,83.15
715,2460,86.22
716,5376,85.26
717,2648,84.71
718,6821,87.23
719,4153,83.32
720,1732,85.49
721,3411,82.69
722,3255,82.33
723,2876,84.04
724,348,93.56
725,2464,84.37
726,2041,85.35
727,7144,86.16
728,4328,84.28
729,4825,85.62
730,1916,81.42
731,1892,86.3
732,5357,85.46
733,5874,85.55
734,1367,85.43
735,2127,85.68
736,2516,83.74
737,6457,84.76
738,4865,82.57
739,5534,83.87
740,5622,82.53
741,6230,84.04
742,4379,82.91
743,1705,88.25
744,2194,86.04
745,2962,84.53
746,210,95.12
747,3694,84.82
748,1691,84.97
749,3393,84.98
750,2162,86.41
751,3501,86.44
752,1420,85.37
753,1980,81.73
754,2260,80.29
755,192,94.15
756,2201,85.22
757,254,85.29
758,10528,84.74
759,3768,84.28
760,1731,85.34
761,2533,84.95
762,92,88.84
763,2307,85.37
764,3924,85.93
765,3031,86.27
766,1863,89.87
767,2851,87.24
768,2751,87.16
769,8439,84.07
770,3508,86.07
771,5266,85.64
772,823,88.07
773,2244,86.67
774,2409,85.54
775,6835,84.76
776,3954,85.71
777,3992,85.13
778,6606,84.32
779,2484,84.32
780,5543,86.12
781,3785,88.75
782,6799,88.82
783,4835,83.3
784,8164,85.09
785,3250,86.07
786,2435,83.63
787,5402,85.74
788,6667,85.15
789,99,79.88
790,10781,85.97
791,1301,81.98
792,3292,87.28
793,2711,85.47
794,3314,89.43
795,4016,85.49
796,1984,86.89
797,4446,84.06
798,4047,84.43
799,2349,84.75
800,2934,83.24
801,2333,87.09
802,3182,84.23
803,7069,83.34
804,4556,85.54
805,6273,85.2
806,3673,85.19
807,5818,84.24
808,12073,84.38
809,13136,83.2
810,21025,84.48
811,26993,84.76
812,21582,85.72
813,4131,81.3
814,2989,84.3
815,2301,86.05
816,1712,82.64
817,697,114.29
818,760,120.43
819,780,116.55
820,542,112.29
821,300,101.12
822,784,116.34
823,810,123.5
824,731,117.6
825,706,102.68
826,765,100.12
827,2495,115.85
828,3288,115.95
829,700,109.14
830,1449,108.78
831,166,97.93
832,468,113.0
833,619,101.85
834,792,111.12
835,854,98.28
836,524,106.9
837,776,108.32
838,507,114.0
839,718,108.29
840,4521,101.69
841,572,109.14
842,8912,101.43
843,1269,132.19
844,2348,136.73
845,2935,104.63
846,3459,110.88
847,3094,115.62
848,3182,120.65
849,3397,109.34
850,3782,131.0
851,3318,123.55
852,3662,106.53
853,2413,125.29
854,3860,120.39
855,4143,111.35
856,4183,111.55
857,2655,124.29
858,3318,113.59
859,2393,117.94
860,3592,115.01
861,3514,113.07
862,14,78.51
863,3791,109.23
864,2794,107.02
865,3757,118.52
866,3667,121.48
867,2829,122.26
868,1223,121.55
869,3153,119.44
870,2694,106.32
871,1520,127.22
872,3123,114.6
873,3065,120.0
874,3147,120.22
875,2861,125.35
876,2513,114.16
877,2134,107.9
878,3625,115.72
879,3043,117.01
880,4221,110.09
881,2947,110.08
882,3283,110.62
883,3365,117.76
884,1996,113.99
885,2819,108.02
886,2505,124.74
887,1803,121.84
888,2827,108.18
889,2249,104.52
890,508,114.38
891,904,109.75
892,471,111.65
893,279,87.5
894,2263,106.64
895,1065,115.71
896,799,132.31
897,1025,111.76
898,131,121.57
899,2878,126.86
900,2945,108.74
901,170,91.69
902,1300,111.18
903,506,108.63
904,0,78.5
905,1774,116.55
906,2833,133.73
907,1704,130.3
908,763,105.59
909,426,87.17
910,3982,112.33
911,2431,127.39
912,1673,126.36
913,4143,120.34
914,1673,133.17
915,1598,138.58
916,1968,140.55
917,4222,110.86
918,2408,119.59
919,1681,136.15
920,596,108.03
921,4726,121.66
922,3025,119.09
923,2788,121.87
924,81,87.33
925,259,133.6
926,14,79.4
927,2787,112.35
928,2445,103.02
929,189,90.58
930,1653,126.51
931,0,74.93
932,1704,82.32
933,5188,76.53
934,0,76.0
935,12,72.67
936,39,62.71
937,30,63.81
938,21,60.97
939,1757,122.77
940,1398,117.75
941,7296,104.24
942,11,79.22
943,10,60.88
944,1278,109.62
945,17,63.5
946,808,75.15
947,0,121.81
948,0,76.43
949,757,93.05
950,1007,119.67
951,576,79.76
952,1162,121.0
953,869,94.61
954,160,106.98
955,0,73.86
956,1294,114.19
957,262,99.18
958,218,103.45
959,11060,89.33
960,16,54.92
961,0,75.0
962,1318,109.74
963,2916,118.88
964,1114,123.3
965,3440,107.55
966,1998,98.41
967,1310,110.36
968,0,82.0
969,0,86.0
970,774,83.43
971,1303,123.43
972,10,81.0
973,936,106.1
974,773,117.28
975,771,105.28
976,19,69.25
977,0,78.0
978,1341,124.76
979,1496,100.27
980,1330,98.04
981,5635,100.95
982,2354,120.55
983,0,81.0
984,108,77.73
985,2776,112.92
986,1164,107.59
987,2364,114.64
988,34,87.4
989,1747,91.85
990,270,105.3
991,1097,100.55
992,1042,107.67
993,1541,94.83
994,5054,116.09
995,392,113.49
996,3966,105.75
997,280,89.38
998,773,112.18
999,865,112.3
1000,1072,111.27
1001,305,93.55
1002,6552,99.8
1003,710,104.98
1004,320,89.7
1005,1809,131.06
1006,45,81.5
1007,2718,73.54
1008,30,54.54
1009,1415,62.47
1010,30,55.99
1011,13,73.0
1012,0,69.27
1013,46,92.09
1014,104,57.0
1015,111,81.71
1016,0,81.0
1017,39,81.81
1018,86,122.21
1019,86,70.1
1020,46,60.13
1021,13,76.33
1022,98,75.01
1023,24,65.98
1024,10,63.51
1025,1953,97.55
1026,6988,85.25
1027,21276,83.64
1028,6601,79.42
1029,16621,84.42
1030,4476,82.39
1031,16217,77.09
1032,4170,73.67
1033,3423,76.8
1034,200,111.35
1035,3192,70.74
1036,9372,73.71
1037,14963,79.24
1038,8503,74.63
1039,7378,75.02
1040,5315,79.64
1041,6749,79.19
1042,6775,76.09
1043,2177,74.21
1044,296,78.54
1045,4920,79.49
1046,7275,83.61
1047,2952,73.84
1048,4897,69.33
1049,6760,75.5
1050,108,64.2
1051,0,79.08
1052,9853,75.02
1053,444,81.76
1054,491,109.11
1055,8320,80.3
1056,9722,77.42
1057,5402,80.84
1058,5900,80.7
1059,7127,74.93
1060,14034,70.74
1061,7834,73.59
1062,6415,84.54
1063,118,69.29
1064,4140,74.01
1065,18140,76.73
1066,8382,69.96
1067,22,56.51
1068,8100,76.53
1069,1148,65.73
1070,4052,76.2
1071,7659,71.9
1072,2202,71.71
1073,5223,77.92
1074,3344,130.97
1075,3369,75.74
1076,2832,71.82
1077,4685,74.71
1078,6152,72.71
1079,4185,70.61
1080,4979,74.16
1081,3791,72.82
1082,6616,77.53
1083,12146,70.4
1084,2364,76.72
1085,1236,82.65
1086,6749,75.79
1087,3895,84.25
1088,3839,74.56
1089,14517,82.76
1090,11759,74.08
1091,17604,86.55
1092,15067,74.75
1093,6677,76.64
1094,11346,75.45
1095,22004,77.89
1096,14404,79.8
1097,3405,68.74
1098,8675,75.28
1099,7979,74.44
1100,4343,72.83
1101,30473,79.52
1102,27240,79.45
1103,17532,74.98
1104,3053,67.1
1105,2256,69.25
1106,8824,73.84
1107,6687,80.44
1108,65,84.2
1109,7068,70.51
1110,6081,78.91
1111,13559,80.4
1112,15727,74.05
1113,16013,73.83
1114,16224,69.91
1115,17983,71.05
1116,13856,73.27
1117,7796,69.17
1118,13051,72.24
1119,10930,73.74
1120,5932,79.07
1121,11890,79.04
1122,962,110.32
1123,3828,124.3
1124,308,84.26
1125,3050,110.32
1126,4081,81.1
1127,5074,79.54
1128,10374,76.88
1129,695,98.8
1130,12837,78.63
1131,9983,74.6
1132,7041,73.62
1133,277,99.23
1134,13242,78.35
1135,2990,70.75
1136,5309,70.36
1137,2712,63.74
1138,5012,71.83
1139,1758,65.29
1140,433,58.55
1141,653,93.07
1142,2635,69.88
1143,3355,74.82
1144,6371,71.93
1145,2985,68.15
1146,11332,69.97
1147,5283,72.24
1148,4050,70.75
1149,4334,69.87
1150,2302,72.32
1151,6446,68.43
1152,5621,72.65
1153,3317,73.12
1154,11112,76.59
1155,6130,73.03
1156,7373,74.3
1157,1937,71.44
1158,9779,72.89
1159,13455,77.62
1160,14588,76.6
1161,6096,71.04
1162,14163,75.27
1163,11543,77.89
1164,9103,73.64
1165,13697,76.09
1166,13331,75.32
1167,12271,79.37
1168,2441,68.7
1169,10491,80.43
1170,21338,80.36
1171,6133,75.8
1172,7203,72.18
1173,1311,70.16
1174,8798,76.87
1175,18796,78.34
1176,12578,77.89
1177,8292,76.6
1178,9455,75.21
1179,12301,76.9
1180,4933,73.57
1181,13307,77.01
1182,12080,77.2
1183,13742,78.53
1184,12431,76.46
1185,10520,82.44
1186,20614,82.12
1187,9593,78.7
1188,6224,80.12
1189,5176,80.79
1190,2730,73.92
1191,16258,75.7
1192,5795,73.89
1193,6549,73.99
1194,6286,72.55
1195,5918,78.32
1196,7328,76.46
1197,10515,76.21
1198,8521,75.4
1199,25912,79.02
1200,16500,76.51
1201,8714,75.16
1202,14784,76.54
1203,1509,72.01
1204,4097,73.08
1205,3650,76.18
1206,12393,80.6
1207,9899,76.11
1208,2525,72.21
1209,9740,82.99
1210,3472,70.1
1211,3586,71.22
1212,6003,72.61
1213,14662,74.95
1214,3725,71.57
1215,5975,71.04
1216,5945,71.72
1217,3418,72.32
1218,3355,72.52
1219,5067,73.16
1220,5458,69.64
1221,26215,73.44
1222,5173,75.63
1223,3121,70.98
1224,2738,71.47
1225,3657,73.38
1226,5053,74.07
1227,6503,74.68
1228,9989,77.83
1229,4330,73.03
1230,4999,73.41
1231,5233,74.77
1232,8246,75.66
1233,10816,80.0
1234,5150,74.35
1235,6662,76.29
1236,271,67.78
1237,5107,74.14
1238,5793,72.26
1239,11210,75.25
1240,20542,76.57
1241,18079,75.46
1242,22461,75.31
1243,18156,74.44
1244,1911,72.78
1245,4773,73.58
1246,6596,74.94
1247,6350,74.2
1248,26310,77.78
1249,2162,73.03
1250,4183,72.28
1251,11999,72.42
1252,7949,74.89
1253,5830,71.98
1254,28658,78.71
1255,14450,76.16
1256,15644,74.63
1257,4942,73.48
1258,5377,72.25
1259,8784,75.46
1260,2444,72.8
1261,2454,79.09
1262,3484,75.42
1263,2958,73.51
1264,2262,70.35
1265,7298,72.27
1266,1734,73.22
1267,4832,69.08
1268,4480,70.41
1269,4048,73.62
1270,3272,78.46
1271,3842,78.16
1272,3772,73.3
1273,7438,79.15
1274,5211,75.28
1275,583,69.12
1276,8426,71.19
1277,4525,69.88
1278,5226,67.56
1279,2244,70.74
1280,8729,78.4
1281,4070,72.36
1282,5006,69.68
1283,5327,71.81
1284,2894,73.67
1285,13482,72.58
1286,5853,72.53
1287,1908,71.13
1288,5240,70.82
1289,3698,69.71
1290,11,58.01
1291,20910,81.36
1292,18207,75.11
1293,14305,79.28
1294,26952,75.57
1295,3058,73.66
1296,9066,79.56
1297,390,70.62
1298,491,83.9
1299,14763,78.94
1300,6487,75.12
1301,11645,71.28
1302,26128,74.39
1303,11868,71.7
1304,8711,70.18
1305,4098,71.35
1306,3029,74.69
1307,7853,71.89
1308,9972,71.89
1309,7318,71.08
1310,12095,77.89
1311,6578,74.25
1312,1196,79.81
1313,81,69.07
1314,11533,77.27
1315,13126,75.16
