,steps,heart_rate,raw_intensity,feeling_rate,time_of_day
276,542,96.5,93.22,2,4
277,2900,81.36,72.98,2,5
278,54,84.67,37.1,2,5
279,2622,92.31,76.71,2,5
280,668,90.38,53.83,2,5
281,19,80.31,32.0,2,6
282,54,82.71,42.22,2,6
283,342,93.42,61.02,2,3
284,2192,82.67,64.64,2,3
285,232,94.3,85.4,2,3
286,1916,88.96,66.62,2,3
287,180,83.52,38.18,2,4
288,22,83.71,37.36,2,4
289,152,85.13,48.43,2,4
290,966,83.05,49.63,2,4
291,1812,93.33,74.45,2,5
292,212,88.0,51.51,2,5
293,242,92.0,70.2,2,5
294,179,85.09,53.95,2,5
295,78,87.17,33.52,2,6
296,238,89.05,55.04,2,4
297,2450,84.57,69.86,2,4
298,2309,83.56,71.36,2,4
299,14,87.86,29.32,2,4
300,37,89.06,30.93,2,5
301,107,86.52,46.05,2,5
302,489,93.71,71.2,2,5
303,101,91.14,46.03,2,5
304,1543,87.7,62.59,2,6
305,27,89.5,46.33,2,6
306,0,87.33,48.0,2,2
307,356,92.3,54.84,2,2
308,104,89.41,35.0,2,3
309,129,89.14,40.0,2,3
310,40,87.86,49.36,2,3
311,24,89.48,43.76,2,3
312,99,86.46,48.23,2,4
313,226,88.0,52.5,2,4
314,1415,93.42,72.92,2,4
315,3004,86.1,77.45,2,4
316,1328,84.24,57.45,2,5
317,21,80.89,24.45,2,5
318,0,103.27,16.18,2,5
319,7,82.92,30.48,2,5
320,1633,85.52,59.62,2,6
321,1455,91.64,72.68,2,6
322,0,114.4,29.2,2,6
323,244,102.26,105.46,2,4
324,367,92.8,84.52,2,4
325,169,88.85,44.83,2,5
326,9,86.07,30.69,2,5
327,7,82.44,33.88,2,5
328,64,83.67,27.66,2,5
329,7,82.69,30.38,2,6
330,724,144.0,102.43,2,2
331,1103,86.55,50.73,2,2
332,61,84.15,29.17,2,3
333,346,82.55,35.93,2,3
334,193,88.85,33.77,2,3
335,265,87.64,33.91,2,3
336,251,91.73,45.05,2,4
337,133,84.92,32.47,2,4
338,1923,87.8,75.76,2,4
339,598,92.0,66.03,2,4
340,2699,81.48,66.78,2,5
341,2013,86.59,74.07,2,5
342,320,85.33,40.9,2,5
343,101,97.5,50.9,2,5
344,0,134.0,14.0,2,6
345,192,90.71,39.2,2,3
346,566,88.62,59.3,2,3
347,0,81.66,24.34,2,3
348,249,83.51,39.13,2,4
349,508,88.0,45.5,2,4
350,318,88.59,44.86,2,4
351,1814,93.14,74.48,2,4
352,4077,86.86,88.1,2,5
353,35,86.11,27.47,2,5
354,206,86.63,38.92,2,5
355,162,88.51,34.98,2,5
356,92,85.62,42.37,2,6
357,3,87.33,50.0,2,6
358,1320,107.45,86.0,1,2
359,964,82.91,45.0,1,2
360,141,80.96,33.62,1,3
361,181,86.15,36.19,1,3
362,176,89.85,30.81,1,3
363,0,82.25,23.04,1,3
364,297,85.57,34.73,1,4
365,308,85.82,47.55,1,4
366,1761,89.9,70.97,1,4
367,0,96.0,6.0,1,4
368,2859,91.46,75.5,1,5
369,853,89.51,70.23,1,5
370,1157,91.37,74.23,1,5
371,2972,87.0,68.92,1,5
372,779,85.82,46.0,1,6
373,216,92.0,48.84,1,6
374,102,95.7,66.54,1,3
375,209,92.44,68.1,1,4
376,153,92.48,67.65,1,4
377,321,91.6,81.67,1,4
378,294,94.0,77.57,1,4
379,1446,96.0,86.15,1,5
380,3831,91.2,88.44,1,5
381,767,94.61,79.98,1,5
382,413,93.02,73.33,1,5
383,355,90.86,52.49,1,6
384,169,86.63,37.34,1,6
385,380,97.21,51.36,1,3
386,217,89.39,43.34,1,3
387,218,92.8,47.22,1,3
388,755,95.58,60.7,1,3
389,2746,79.25,67.06,1,4
390,3637,83.56,79.66,1,4
391,744,83.9,50.47,1,4
392,10,81.21,35.98,2,4
393,55,83.93,42.68,2,5
394,21,84.53,31.83,2,5
395,0,87.24,22.48,2,5
396,0,81.68,33.79,2,5
397,976,89.24,55.67,2,6
398,1535,83.43,68.0,2,6
399,93,92.75,33.89,2,2
400,396,84.32,42.73,2,3
401,254,90.53,47.68,2,3
402,103,87.11,34.31,1,3
403,45,86.77,34.44,1,3
404,209,85.69,43.98,1,4
405,260,87.41,43.69,1,4
406,180,84.63,43.96,1,4
407,558,92.44,85.75,1,4
408,125,93.58,94.08,1,5
409,686,88.77,63.34,1,5
410,59,88.44,31.41,1,5
411,111,81.25,30.1,1,5
412,0,115.0,7.0,1,6
413,1170,101.7,70.96,1,2
414,1196,90.21,52.32,1,2
415,885,88.35,39.67,1,3
416,283,87.15,37.7,1,3
417,46,85.61,32.83,1,3
418,195,86.15,36.98,1,3
419,357,88.36,41.67,1,4
420,1073,88.21,49.67,1,4
421,2609,82.67,65.05,1,4
422,0,81.43,33.45,2,4
423,19,80.28,34.47,2,5
424,2228,81.07,61.91,2,5
425,187,85.85,37.33,2,5
426,0,82.07,27.02,2,5
427,166,87.28,41.64,2,6
428,1406,105.07,82.62,2,2
429,1098,84.11,49.81,2,2
430,266,83.27,34.71,2,3
431,241,82.61,39.7,2,3
432,554,85.71,41.09,2,3
433,63,85.24,28.22,2,3
434,144,86.9,27.09,2,4
435,223,85.65,29.39,2,4
436,494,91.79,58.05,2,4
437,2100,88.0,67.43,2,4
438,705,90.8,66.3,1,5
439,313,88.64,56.74,1,5
440,1104,85.33,58.48,1,5
441,1906,94.12,74.22,1,5
442,1548,85.0,58.93,1,6
443,131,82.58,42.33,3,3
444,476,94.59,80.47,3,3
445,351,94.55,93.57,3,3
446,157,85.6,36.92,2,3
447,233,86.97,45.37,2,4
448,203,87.79,35.69,2,4
449,144,85.82,36.25,2,4
450,3216,92.0,83.64,2,4
451,140,83.72,42.35,2,5
452,38,89.41,27.04,2,5
453,244,87.81,52.66,2,5
454,59,87.0,38.7,2,5
455,0,134.0,28.0,2,6
456,40,98.75,50.36,2,2
457,1882,87.86,61.27,2,2
458,77,88.32,31.88,2,2
459,197,85.21,30.94,2,3
460,121,80.92,28.75,2,3
461,235,83.2,31.75,3,3
462,739,84.52,37.67,3,3
463,134,89.96,29.14,3,4
464,1448,92.11,58.58,3,4
465,0,115.0,32.0,1,4
466,2738,100.7,86.79,1,4
467,2353,88.67,71.25,1,5
468,190,81.92,37.49,1,5
469,3014,83.05,73.53,1,5
470,1221,90.86,62.31,1,5
471,38,81.36,43.75,1,6
472,27,141.5,42.5,3,3
473,2743,89.17,78.83,3,3
474,2020,91.2,67.27,3,3
475,111,88.89,31.41,1,3
476,461,87.31,55.81,1,4
477,100,84.71,32.42,1,4
478,95,85.54,33.57,1,4
479,102,85.33,37.69,1,4
480,2025,89.07,80.48,1,5
481,387,87.79,63.96,1,5
482,222,89.67,39.2,1,5
483,88,86.96,37.63,1,5
484,99,90.07,34.76,1,6
485,0,87.56,29.72,2,6
486,1089,89.29,85.17,2,3
487,1429,83.29,49.74,2,3
488,25,83.93,38.63,2,3
489,1576,87.24,72.48,1,3
490,0,81.74,22.76,1,4
491,0,80.0,29.63,2,4
492,18,87.17,41.2,2,4
493,106,87.85,38.81,2,4
494,2392,89.21,70.35,2,5
495,1720,85.19,50.46,2,5
496,24,82.0,33.59,2,5
497,0,81.8,19.65,2,5
498,12,82.55,29.38,2,6
499,347,84.9,38.81,3,6
500,278,83.65,45.54,3,6
501,41,123.5,58.5,3,2
502,147,86.64,40.12,3,2
503,1578,82.74,57.14,3,3
504,224,85.88,36.88,3,3
505,201,85.02,29.72,3,3
506,281,81.52,34.11,2,3
507,150,80.94,29.95,2,4
508,747,84.0,49.0,2,4
509,332,85.24,34.68,2,4
510,835,87.64,66.84,2,4
511,630,87.16,57.11,2,5
