date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2021-05-09,65,262,43,2021-05-08 23:37:00+0000,2021-05-09 07:38:00+0000,111,
2021-05-10,103,284,14,2021-05-09 23:18:00+0000,2021-05-10 06:53:00+0000,54,
2021-05-11,37,308,26,2021-05-10 23:01:00+0000,2021-05-11 07:36:00+0000,144,
2021-05-12,38,312,34,2021-05-11 23:00:00+0000,2021-05-12 07:51:00+0000,147,
2021-05-13,92,198,30,2021-05-12 23:22:00+0000,2021-05-13 06:06:00+0000,84,
2021-05-14,71,240,28,2021-05-14 00:02:00+0000,2021-05-14 07:01:00+0000,80,
2021-05-15,59,148,128,2021-05-14 23:23:00+0000,2021-05-15 06:20:00+0000,82,
2021-05-16,108,303,22,2021-05-15 23:14:00+0000,2021-05-16 07:48:00+0000,81,
2021-05-17,104,244,32,2021-05-16 23:15:00+0000,2021-05-17 07:09:00+0000,94,
2021-05-18,51,298,0,2021-05-17 23:23:00+0000,2021-05-18 05:57:00+0000,45,
2021-05-19,26,233,13,2021-05-18 23:32:00+0000,2021-05-19 05:02:00+0000,58,"[{\"start\":\"2019-04-14 00:32:12+0000\",\"end\":\"2019-04-14 00:32:31+0000\"},{\"start\":\"2019-04-14 00:32:32+0000\",\"end\":\"2019-04-14 00:32:32+0000\"},{\"start\":\"2019-04-14 00:32:33+0000\",\"end\":\"2019-04-14 00:32:41+0000\"},{\"start\":\"2019-04-14 00:32:42+0000\",\"end\":\"2019-04-14 00:32:46+0000\"},{\"start\":\"2019-04-14 00:32:47+0000\",\"end\":\"2019-04-14 00:33:10+0000\"}]"
2021-05-20,42,226,41,2021-05-19 23:19:00+0000,2021-05-20 06:29:00+0000,121,
2021-05-21,62,191,71,2021-05-20 23:57:00+0000,2021-05-21 06:49:00+0000,88,
2021-05-22,48,260,48,2021-05-22 00:19:00+0000,2021-05-22 08:05:00+0000,110,
2021-05-23,41,187,25,2021-05-22 23:54:00+0000,2021-05-23 05:45:00+0000,98,"[{\"start\":\"2019-04-14 00:33:17+0000\",\"end\":\"2019-04-14 00:33:34+0000\"}]"
2021-05-24,44,259,41,2021-05-23 23:07:00+0000,2021-05-24 07:01:00+0000,130,
2021-05-25,80,270,25,2021-05-24 23:17:00+0000,2021-05-25 07:55:00+0000,143,
